track1	track2	corr	pval
triad_signal	triad_input_ChIP	0.861577	5.420421e-04
triad_signal	RedChIP_signal	0.853470	5.420421e-04
triad_signal	RedChIP_input	0.860181	5.420421e-04
triad_input_ChIP	RedChIP_signal	0.961449	0
triad_input_ChIP	RedChIP_input	0.954211	0
RedChIP_signal	RedChIP_input	0.951076	0
triad_input	triad_signal	0.303184	4.093053e-03
triad_input	RedChIP_signal	0.146664	0
triad_input	RedChIP_input	0.145913	1.900993e-298
triad_input	triad_input_ChIP	0.175709	0
RedChIP_nofilt	triad_signal	0.298807	7.129892e-03
RedChIP_nofilt	triad_input	0.759174	0
RedChIP_nofilt	RedChIP_signal	0.182528	0
RedChIP_nofilt	RedChIP_input	0.240033	0
RedChIP_nofilt	triad_input_ChIP	0.167990	0
